id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas ,skdl_id,skdl_description,skdl_imageurl,skdl_latitude,skdl_longitude,skdl_type
,Baby E C,,,The Temple 24 Dale Street,,L25RL,,07494743673,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113042,,,53.4078236,-2.9887934,Nightclub
,Leasowe Castle,,," Leasowe Rd, Liverpool CH46 3RF",,CH463RF,,01516069191,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39290,,,53.4083714,-2.9915726,Theatre
,Liverpool Hope Students Union,,,"Hope Park, Taggart Avenue, Childwall",,L169JD,,01512913871,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44244,,,53.4083714,-2.9915726,Nightclub
,Moranto And 39s Restaurant Bar,,,"57 - 63 LARK LANE, Aigburth",,LA178UP,,01517277200,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47686,,https://dhzjvxyl79yzn.cloudfront.net/6/47686_1_moranto-and-39s-restaurant-bar_th.jpg,53.4083714,-2.9915726,bar
,ZombieXperience Liverpool,,,The Fortress,,L69BY,,07920832981,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53888,,https://dhzjvxyl79yzn.cloudfront.net/8/53888_1_zombiexperience-liverpool_th.jpg,53.4083714,-2.9915726,Outdoors
,Skaters Warehouse,,,New Bird Street,,L10DA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54182,,,53.4083714,-2.9915726,Nightclub
,Hus  The Kolbox,,,"Tempest Building, Tithebarn Street",,L22EN,,01519581260,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76584,,,53.408447,-2.990989,Nightclub
,Tempest On Tithebarn,,,12 Tithebarn Street,,L22DP,,01512426170,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115406,,,53.408501,-2.9908883,bar
,Underground Liverpool,,,Tempest Hey/Eberle Street,,L22AG,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72858,,https://dhzjvxyl79yzn.cloudfront.net/8/72858_1_underground-liverpool_th.jpg,53.40826,-2.990247,Nightclub
,Folk (The Kolbox),,, Tithebarn Street ,,L22DT,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95198,,,53.4088518,-2.9906375,Nightclub
