id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas ,skdl_id,skdl_description,skdl_imageurl,skdl_latitude,skdl_longitude,skdl_type
,The Vault,,,3-7 Wilbrahan Street,,CH412PZ,,07720897944,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45972,,https://dhzjvxyl79yzn.cloudfront.net/2/45972_2_the-vault_th.jpg,53.3895432,-3.0197824,Nightclub
,TEMPLE NIGHTCLUB ,,,28A Oliver Street East,,CH416HH,,07518950333,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108170,,https://dhzjvxyl79yzn.cloudfront.net/0/108170_0_temple-nightclub-_th.jpg,53.3904939,-3.0199248,Nightclub
,Temple Club Birkenhead ,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108615,,https://dhzjvxyl79yzn.cloudfront.net/5/108615_1_temple-club-birkenhead-_th.jpg,53.3904939,-3.0199248,Nightclub
,Temple Club ,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108616,,,53.3904939,-3.0199248,Nightclub
,Club Ikon,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72417,,,53.3904772,-3.01988,Nightclub
,Club Lqd,,,28 Oliver Street East,,CH416HH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83490,,,53.3905195,-3.0196499,Nightclub
,HEX,,,3-5 Thomas St,,CH415DD,,01516499966,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,,,53.388423,-3.018369,Nightclub
,Birkenhead Town Hall,,,Birkenhead,,CH41,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63729,,,53.3904,-3.0159166,other
,Bloom Building And Coffee,,,"Bloom Building, Abbey Close",,CH415FQ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111225,,,53.3885965,-3.013686,Nightclub
,Bloom Building,,,3 Abbey Close,,CH415FQ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93047,,,53.388635,-3.013686,live
,Birkenhead Priory,,,Priory Street,,CH415JH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88721,,,53.3902653,-3.0120406,Outdoors
,The Priory ,,,Priory Street,,CH415JH,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80341,,https://dhzjvxyl79yzn.cloudfront.net/1/80341_0_the-priory-_th.jpg,53.3896,-3.011054,Outdoors
,The Engineering College,,,Monks Ferry,,CH415LH,,01516661028,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108636,,,53.390567,-3.010108,School/Uni
,Mecca Bingo Birkenhead,,,"5 Europa Centre, Europa Square, Birkenhead",,CH414PF,,01516478860,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41958,,https://dhzjvxyl79yzn.cloudfront.net/8/41958_1_mecca-bingo-birkenhead_th.jpg,53.3917448,-3.0240606,bar
,TBC,,,136 Conway Street,,CH416RN,,07834340998,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5452,,,53.393011,-3.02415,Other
,The Venue  Marbella Mambo,,,30 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78191,,,53.3913008,-3.0202756,Nightclub
,Marbella Mambo,,,30 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78462,,,53.3913008,-3.0202756,Nightclub
,Platinum Bar Wirral,,,24-28 Conway Street,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107808,,,53.3913179,-3.0202753,Nightclub
,Thirty Six,,,36 Conway street Birkenhead ch41 6JD,,CH416JD,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110892,,,53.3911935,-3.0200673,Nightclub
,Future Yard,,,75 Argyle Street,,CH416AB,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103119,,https://dhzjvxyl79yzn.cloudfront.net/9/103119_1_future-yard_th.jpg,53.391519,-3.018451,live
,Mr Whites Ltd,,,60 Argyle Street,,CH416AF,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96200,,,53.3919345,-3.0186807,Nightclub
,The Cotton Club,,,62 Argyle Street,,CH416AF,,07714207455,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82934,,https://dhzjvxyl79yzn.cloudfront.net/4/82934_0_the-cotton-club_th.jpg,53.391988,-3.0187582,Nightclub
,Fight Club,,,22 Lorn Street,,CH416AR,,07854744975,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31908,,,53.3925283,-3.0186358,Sports
,At 75,,,75 Argyle Street,,CH416AB,,01516473426,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82488,,,53.3917077,-3.0178944,Nightclub
,2a Price Street The Life Cafe,,,Price St,,CH416JN,,01516491845,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11229,,,53.393267,-3.018591,live
,Rathbone Studio,,,28 Argyle Street,,CH416AE,,07903337995,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70695,,,53.3931088,-3.0180331,Gallery
,The Basement Bar And Bistro,,,29 Hamilton Square,,CH416AZ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62203,,https://dhzjvxyl79yzn.cloudfront.net/3/62203_1_the-basement-bar-and-bistro_th.jpg,53.3937344,-3.0174013,bar
,The Northern Powerhouse,,,"The Northern Powerhouse, 82-90 Taylor Street",,CH411BQ,,,,,,,,,,,,Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111421,,,53.3964309,-3.019639,Nightclub
,Molly's Chambers Bar And Kitchen,,,167 Bridge Street,,CH411AY,,01516479114,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90011,,https://dhzjvxyl79yzn.cloudfront.net/1/90011_1_mollys-chambers-bar-and-kitchen_th.jpg,53.3969209,-3.0196933,live
,Treasury Annexe,,,"Treasury Link, 2 Cleveland Street",,CH416ND,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87164,,,53.394618,-3.016656,Other
,Mega Value Fun Park,,,"Dock Road, Seacombe",,CH447JW,,,,,,,,,,,,Wallasey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49860,,https://dhzjvxyl79yzn.cloudfront.net/0/49860_1_mega-value-fun-park_th.jpg,53.40424,-3.024157,Outdoors
,TBC,,,Birkenhead,,CH416hh,,07834340998,,,,,,,,,,Birkenhead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36490,,,53.401148,-3.023184,Nightclub
,Billi Smiles Circus,,,"Dock Road,",,CH447JW,,07832425262,,,,,,,,,,"Wallasey, Merseyside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52008,,,53.4055702,-3.0219258,Outdoors
,Birkenhead Rd,,,Wallasey,,CH447BZ,,,,,,,,,,,,Wallasey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60103,,,53.4059087,-3.0202065,other
,SpectacleGallaghers,,,20 Chester Street,,CH415DQ,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61249,,,53.3938558,-3.0126371,Theatre
,Swinging Arm,,,Church Street,,CH415EE,,01510000000,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51396,,,53.390894,-3.010693,live
,TheSwinging Arm,,,Church Street,,CH415EG,,01516661666,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26452,,https://dhzjvxyl79yzn.cloudfront.net/2/26452_th.jpg,53.3922959,-3.0110813,bar
,The Swinging Arm,,,61-63 Church Street,,CH415EG,,,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67351,,,53.3922959,-3.0110813,bar
,Pacific Road Arts Centre,,,Pacific Road,,CH411LJ,,01516470752,,,,,,,,,,Birkenhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,https://dhzjvxyl79yzn.cloudfront.net/6/1936_th.jpg,53.396666,-3.013152,live
,Birkenhead Pacific Road Arts Centre,,,Pacific Road,,CH411LJ,,01516660000,,,,,,,,,,"Birkenhead, Wirral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11479,,,53.396666,-3.013152,Nightclub
,Secret Warehouse,,,Warehouse,,L1OOO,,07070707077,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35726,,,53.407412,-3.005177,Nightclub
,Liverpool Canoe Club,,,"Liverpool Canoe Club, Liverpool Marina, Coburg Wharf, Sefton Street, Liverpool L3 4BP",,L34BP,,01517076777,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33844,,,53.3887528,-2.9854654,Outdoors
,Quayside Bar And Restaurant ,,,Coburg Wharf,,L34BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72800,,,53.3887528,-2.9854654,live
,The Yacht Club Liverpool,,,"The Yacht Club Liverpool, Coburg Wharf, Sefton Street",,L34BP,,01517076888,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49608,,https://dhzjvxyl79yzn.cloudfront.net/8/49608_1_the-yacht-club-liverpool_th.jpg,53.390608,-2.98568,bar
,Alfies On The Dock,,,Coburg Wharf,,L34BP,,01517076888,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104249,,,53.3908422,-2.9848338,Nightclub
,Liverpool Marina Bar And Grill,,," Coburg Wharf, Liverpool, L3",,L34BP,,01517076888,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36086,,https://dhzjvxyl79yzn.cloudfront.net/6/36086_1_liverpool-marina_th.jpg,53.390793,-2.984683,bar
,Liverpool Watersports Centre,,,110 Mariners Wharf,,L34DG,,0151708932,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53752,,,53.3927184,-2.9852863,Outdoors
,Secret Location,,,L1,,L15AY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65296,,,53.39447,-2.985272,Nightclub
,The Pullman Hotel Liverpool,,,"King's Dock, Port of Liverpool,",,L34FP,,01519451000,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116487,,,53.3959667,-2.9903607,Hotel
,Liverpool Treasure Hunt,,,starts at Liverpool Arena,,L34BX,,07791298097,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10312,,,53.395492,-2.990205,Outdoors
,Exhibition Centre Liverpool,,,"Kings Dock,  Liverpool Waterfront",,L34FP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66265,,,53.395566,-2.989897,Exhibition Centre
,Echo Arena Auditorium,,,16 Monarchs Quay,,L34FP,,1514758888,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73524,,https://dhzjvxyl79yzn.cloudfront.net/4/73524_0_-echo-arena-auditorium_th.jpg,53.39737,-2.991893,live
,MandS Bank Arena ,,,"Arena and Convention Centre Liverpool, Monarchs Quay",,L34FP,,0344800040,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9623,,https://dhzjvxyl79yzn.cloudfront.net/3/9623_2_m-and-s-bank-arena-_th.jpg,53.397741,-2.991442,live
,BT Convention Centre Liverpool,,,"Kings Dock, Waterfront, Liverpool L3 4FP",,L34FP,,01514758888,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55293,,,53.3970117,-2.9900477,live
,Arena And Convention Centre Liverpool,,,Kings Dock,,L34FP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65819,,,53.3970117,-2.9900477,Exhibition Centre
,Wheeler's Of St James's,,,21 Monarchs Quay,,L34FP,,01519451010,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87513,,https://dhzjvxyl79yzn.cloudfront.net/3/87513_0_wheelers-of-st-jamess_th.jpg,53.3970117,-2.9900477,Restaurant
,East Z East,,,"Kings Dock, Port of Liverpool, Keel Wharf",,L34BX,,01517079377,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116511,,,53.39761773,-2.99015349,bar
,EastzEast Liverpool,,,"Kings Dock (opposite M&S Bank Arena), Liverpool.",,L34BX,,07464633779,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116625,,,53.3976822,-2.9900642,live
,Jurys Inn Liverpool,,,"31 Keel Wharf, Liverpool",,L34FN,,01512443777,,,,,,,,,,Merseyside ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41996,,,53.3980643,-2.9899368,Nightclub
,Jurys Inn Liverpool,,,"31 Keel Wharf, Liverpool, Merseyside",,L34FN,,01512443777,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50830,,,53.3980643,-2.9899368,Outdoors
,Jurys Inn,,,31 Keel Wharf,,L34FN,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62978,,,53.3980643,-2.9899368,Hotel
,Gala Leo Casino,,,"44 Chaloner Street, Queens Dock",,L34BF,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15513,,,53.394796,-2.984528,Nightclub
,Seven Zero One Bar And Base,,,Chaloner Street,,L34AJ,,01517098104,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69119,,,53.3953202,-2.9848051,bar
,Venue TBA,,,Jamaica Street,,L10AF,,07837459784,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49938,,,53.397153,-2.987428,Outdoors
,YHA Liverpool,,,25 Tabley Street,,L18EE,,08453719527,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69032,,,53.3978918,-2.9857969,Other
,WARPliverpool,,,"WARPliverpool, Baltic Triangle, Hurst Street, L1 8DA.",,L18DA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61747,,,53.397996,-2.985237,Other
,Panam Restaurant And Bar,,,"Unit 22, Britannia Pavilion, Albert Dock",,L34AD,,01517025831,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83033,,https://dhzjvxyl79yzn.cloudfront.net/3/83033_1_panam-restaurant-and-bar_th.jpg,53.398931,-2.992604,Restaurant
,Pan Am,,,"Britannia Pavilion, Albert Dock",,L34AD,,01517025840,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,,https://dhzjvxyl79yzn.cloudfront.net/8/3458_1_pan-am_th.jpg,53.398944,-2.99254,bar
,The Smugglers Cove ,,,"Britannia Pavilion, Albert Dock",,L34AD,,01517036555,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86318,,https://dhzjvxyl79yzn.cloudfront.net/8/86318_0_the-smugglers-cove-_th.jpg,53.399023,-2.9921982,Restaurant
,Tate Liverpool,,,Albert Dock,,L34BB,,01517027400,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612,,,53.400376,-2.994093,bar
,The France Hayhurst,,," Albert Dock Liverpool, L3",,L34AA,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95519,,,53.400087,-2.9933134,Other
,The Pier Head,,,Liverpool waterfront,,L34BB,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72639,,,53.400715,-2.9943902,live
,Merseyside Maritime Museum,,,Albert Dock,,L34AQ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62836,,,53.4012188,-2.9932589,Exhibition Centre
,Open Eye Galleryand8217s Winter Garden Space,,,11A Mann Island,,L31BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79594,,,53.403756,-2.996279,Exhibition Centre
,Crowne Plaza Liverpool,,,St. Nicholas Place Princes Dock Pier Head,,L31QW,,01512438000,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34736,,,53.405433,-2.9988325,live
,Matou Pan Asian Restaurant,,,Landing Stage Pier Head,,L31DP,,0151236292,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104920,,,53.4046012,-2.9971577,Outdoors
,Liverpool Pier Head,,,"Liverpool Pier Head, Liverpool, L3 1BZ ",,L31BZ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29272,,,53.404555,-2.996868,Outdoors
,Pier Head Liverpool L3,,, Pier Head,,L31HU,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58399,,https://dhzjvxyl79yzn.cloudfront.net/9/58399_2_-pier-head-liverpool-l3_th.jpg,53.404969,-2.996483,Outdoors
,Liverpool Waterfront,,,Albert Dock,,L34BB,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99275,,,53.403366,-2.995578,Outdoors
,Nova Scotia Liverpool,,,25A Mann Island,,L31BP,,01515416720,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115407,,,53.4034286,-2.9943018,Restaurant
,Open Eye Gallery ,,,"19 Mann Island, Liverpool Waterfront, Liverpool, L3 1BP ",,L31BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45058,,,53.404204,-2.994391,Gallery
,Mersey Boat Liverpool,,,Liverpool,,L31by,,07521334108,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11549,,,53.404221,-2.994439,Nightclub
,Hub Festival,,,Pier Head,,L31BY,,01512361251,,,,,,,,,,Livepool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095,,,53.404221,-2.994438,Outdoors
,Port Of Liverpool Building,,,Pier Head,,L31BY,,08700340040,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20834,,https://dhzjvxyl79yzn.cloudfront.net/4/20834_th.jpg,53.4042294,-2.994412,Outdoors
,Merseytravel,,,1 Mann Island,,L31BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68663,,,53.4042295,-2.994412,Outdoors
,Bubbles Beach Club,,," Bubbles Bars, Pier Head ",,L31BW,,01514910032,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73219,,https://dhzjvxyl79yzn.cloudfront.net/9/73219_0_bubbles-beach-club_th.jpg,53.4042295,-2.994412,Nightclub
,RIBA North,,,11A Mann Island,,L31BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81196,,,53.4042295,-2.994412,Exhibition Centre
,RIBA North   National Architecture Centre,,,21 Mann Island,,L31BP,,,,,,,,,,,,Merseyside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86059,,,53.4042295,-2.994412,bar
,Mann Island,,,Mann Island,,L31BY,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103924,,https://dhzjvxyl79yzn.cloudfront.net/4/103924_0_mann-island_th.jpg,53.4042295,-2.994412,bar
,The Dockside Dining Club,,," Mann Island Liverpool, L3",,L31DQ,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92464,,,53.403194,-2.993356,bar
,Dockside Sports Bar,,," Mann Island Liverpool, L3 1BP",,L31BP,,01513636770,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100085,,,53.403245,-2.993345,bar
,Liverpool Waterfront Avenue HQ,,,17 Mann Island,,L31BP,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83277,,https://dhzjvxyl79yzn.cloudfront.net/7/83277_0_liverpool-waterfront-avenue-hq_th.jpg,53.4037424,-2.9940662,Exhibition Centre
,Walk The Plank's Theatre Ship,,,Canning Dock,,L31DG,,01617368964,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,,,53.403844,-2.993301,live
,British Museum,,," Cunard Building, Pier Head",,L31DS,,01515190915,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91555,,,53.404991,-2.995952,Other
,British Music Experience Cunard Building Liverpool,,,Cunard Building,,L31DS,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91636,,https://dhzjvxyl79yzn.cloudfront.net/6/91636_0_british-music-experience-cunard-building-liverpool_th.jpg,53.405071,-2.996027,Exhibition Centre
,The Cunard Building,,,"Brunswick Street, Pier Head",,L31ES,,07583117291,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25144,,https://dhzjvxyl79yzn.cloudfront.net/4/25144_th.jpg,53.4052063,-2.9947657,Gallery
,Somewhere,,,"Royal Liver Building, Pier Head",,L31HU,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108714,,,53.4059961,-2.9958817,Nightclub
,The Venue At The Royal Liver Building,,,"Royal Liver Building, Pier Head",,L31HU,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92334,,,53.405765,-2.995738,Exhibition Centre
,Royal Liver Building,,,"Royal Liver Building, Pier Head",,L31HU,,01515591950,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41938,,https://dhzjvxyl79yzn.cloudfront.net/8/41938_1_royal-liver-building_th.jpg,53.405775,-2.995714,Other
,Museum Of Liverpool,,,"Pier Head, Liverpool",,L31DG,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57088,,,53.4061652,-2.9951191,Gallery
,Liverpool Comedy Club At The Bentley,,,50 Brunswick St,,L20PL,,01512364001,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83015,,https://dhzjvxyl79yzn.cloudfront.net/5/83015_2_liverpool-comedy-club-at-the-bentley_th.jpg,53.405453,-2.993553,live
,The Bentley,,,50 Brunswick St,,L20PL,,01512364001,,,,,,,,,,Liverpool ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83007,,https://dhzjvxyl79yzn.cloudfront.net/7/83007_2_the-bentley_th.jpg,53.405482,-2.993587,live
,Liberte,,,50 Brunswick Street,,L20PL,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91438,,,53.405503,-2.9934988,Nightclub
,Pierhead Housing,,,"Wellington Buildings, The Strand, Liverpool",,L20PP,,01512271001,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62604,,,53.4055933,-2.9936316,other
,Meet Argentinean Restaurant,,,50 Brunswick Street,,L20PL,,01513176836,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110385,,,53.405584,-2.993193,Restaurant
,Oh Me Oh My,,,"West Africa House, 25 Water Street",,L20RG,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67729,,,53.4057891,-2.9938618,Nightclub
,Liberte Sky Garden,,,50 Brunswick Street,,L20PL,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113694,,,53.4057635,-2.9925068,bar
,Noir ,,,50 Brunswick Street,,L20PL,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113887,,,53.4057635,-2.9925068,Nightclub
,The Panamerican Club,,,"Albert Dock, Liverpool",,L34AD,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,,,53.399383,-2.991407,bar
,Holiday Inn Express Albert Dock,,,Albert Dock,,L34AD,,01517091133,,,,,,,,,,Liverpool Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128,,,53.399383,-2.991407,Nightclub
,The Beatles Story Ltd,,,"Unit 41, Britannia Pavilion, Albert Dock",,L34AD,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73959,,,53.3993917,-2.9913814,Exhibition Centre
,Smugglers Cove,,,"Britannia Pavilion, Albert Dock",,L34AD,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76457,,,53.3993917,-2.9913814,bar
,Baby Blue,,,Edward Pavilion Albert Dock,,L34AE,,08448000400,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,https://dhzjvxyl79yzn.cloudfront.net/3/1043_th.jpg,53.399775,-2.9908,live
,Babycream,,,"Atlantic Pavilion, Albert Dock",,L34AE,,,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044,,,53.399775,-2.9908,bar
,Babycream Liverpool,,,"North Quay, Albert Dock, Liverpool, L3 4AE,",,L34AE,,01517097097,,,,,,,,,,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,,,53.399775,-2.9908,bar
